time	V(vout)	V(vpre)
7.191715928571507e-005	2.241628e-004	1.800000e+000
7.317273964285796e-005	2.101706e-004	1.800000e+000
7.442832000000085e-005	1.970072e-004	1.800000e+000
7.569785125000089e-005	1.843744e-004	1.800000e+000
7.696738250000092e-005	1.723341e-004	1.800000e+000
7.823691375000096e-005	1.608861e-004	1.800000e+000
7.950644500000099e-005	1.500306e-004	1.800000e+000
8.077597625000103e-005	1.397676e-004	1.800000e+000
8.204550750000107e-005	1.300970e-004	1.800000e+000
8.331503875000110e-005	1.210188e-004	1.800000e+000
8.367776196428682e-005	1.184972e-004	1.800000e+000
8.404048517857256e-005	1.160138e-004	1.800000e+000
8.440320839285828e-005	1.135688e-004	1.800000e+000
8.476593160714400e-005	1.111622e-004	1.800000e+000
8.512865482142972e-005	1.087938e-004	1.800000e+000
8.549137803571546e-005	1.064639e-004	1.800000e+000
8.585410125000118e-005	1.041722e-004	1.800000e+000
8.602151196428689e-005	1.031263e-004	1.800000e+000
8.618892267857262e-005	1.020880e-004	1.800000e+000
8.635633339285834e-005	1.010573e-004	1.800000e+000
8.652374410714405e-005	1.000342e-004	1.800000e+000
8.669115482142977e-005	9.901866e-005	1.800000e+000
8.685856553571549e-005	9.801070e-005	1.800000e+000
8.702597625000121e-005	9.701032e-005	1.800000e+000
8.821180214285839e-005	9.017065e-005	1.800000e+000
8.939762803571557e-005	8.364699e-005	1.800000e+000
9.058345392857275e-005	7.743936e-005	1.800000e+000
9.176927982142993e-005	7.154775e-005	1.800000e+000
9.295510571428709e-005	6.597216e-005	1.800000e+000
9.414093160714427e-005	6.071259e-005	1.800000e+000
9.532675750000145e-005	5.576904e-005	1.800000e+000
9.559182446428717e-005	5.469321e-005	1.800000e+000
9.585689142857290e-005	5.363023e-005	1.800000e+000
9.612195839285862e-005	5.258012e-005	1.800000e+000
9.638702535714433e-005	5.154287e-005	1.800000e+000
9.665209232143005e-005	5.051848e-005	1.800000e+000
9.691715928571578e-005	4.950695e-005	1.800000e+000
9.718222625000150e-005	4.850829e-005	1.800000e+000
9.755890035714437e-005	4.711085e-005	1.800000e+000
9.793557446428723e-005	4.573713e-005	1.800000e+000
9.831224857143010e-005	4.438713e-005	1.800000e+000
9.868892267857298e-005	4.306084e-005	1.800000e+000
9.906559678571584e-005	4.175827e-005	1.800000e+000
9.944227089285871e-005	4.047942e-005	1.800000e+000
9.981894500000158e-005	3.922429e-005	1.800000e+000
9.991660125000158e-005	3.890228e-005	1.800000e+000
1.000000000000000e-004	3.862819e-005	1.800000e+000
